dataset,model,problem_id,gold,ans_a,a_correct,ans_b,b_correct
Math500,Qwen2.5-Math-7B-Instruct,test/intermediate_algebra/752.json,3,3,True,3,True
Math360,Qwen2.5-32B-Instruct,algebra_equations_m2,x = 22,,,22,True
Math500,Llama-3.1-8B-Instruct,test/intermediate_algebra/1350.json,14,,,0,False
Math360,JiuZhang3.0-7B,geometry_plane_e3,35 cm²,35,True,35,True
Math500,Qwen2.5-7B-Instruct,test/algebra/509.json,\frac{13}{6},\dfrac{13}{6},True,\dfrac{13}{6},True
Math360,Qwen2.5-32B-Instruct,calculus_series_h2,Convergent,\text{Converges},False,,
Math500,Qwen2.5-Math-7B-Instruct,test/counting_and_probability/765.json,110,110,True,110,True
Math500,Qwen2.5-7B,test/number_theory/239.json,2,2,True,2,True
Math500,JiuZhang3.0-7B,test/intermediate_algebra/1555.json,12,12,True,13,False
Math360,s1.1-7B,combinatorics_recursion_m3,49,,,242,False
Math500,Open-Reasoner-Zero-7B,test/prealgebra/1251.json,8,8,True,8,True
Math500,Open-Reasoner-Zero-7B,test/prealgebra/1991.json,\text{Navin},\text{Navin},True,\text{Navin},True
Math500,Ministral-8B-Instruct-2410,test/algebra/346.json,7,correctly \( 7 \),False,,
Math500,Ministral-8B-Instruct-2410,test/counting_and_probability/10.json,4,4,True,,
Math500,JiuZhang3.0-7B,test/number_theory/417.json,"11,\! 111,\! 111,\! 100",,,incorrect,False
Math500,Ministral-8B-Instruct-2410,test/algebra/101.json,"x \in [-2,7]","\( x \in [-2, 7] \)",True,,
Math500,Qwen2.5-7B-Instruct,test/prealgebra/505.json,6,6,True,,
Math500,Open-Reasoner-Zero-7B,test/algebra/2593.json,8000,8000,True,8000,True
Math500,JiuZhang3.0-7B,test/prealgebra/977.json,23,23,True,23,True
Math500,Open-Reasoner-Zero-7B,test/algebra/346.json,7,7,True,7,True
Math500,Qwen2.5-7B,test/algebra/2214.json,4,4,True,4,True
Math500,Qwen2.5-7B,test/precalculus/703.json,8 \pi,4\pi,False,8\pi,True
Math500,Open-Reasoner-Zero-7B,test/number_theory/691.json,255,255,True,255,True
Math500,Qwen2.5-7B-Instruct,test/intermediate_algebra/117.json,15,-15,False,\frac{37}{2},False
Math500,Qwen2.5-Math-7B-Instruct,test/algebra/2551.json,10,10,True,10,True
Math500,Qwen2.5-Math-7B-Instruct,test/precalculus/801.json,55^\circ,37^\circ,False,53^\circ,False
Math360,s1.1-7B,algebra_polynomials_m3,-5,-5,True,-5,True
Math500,Qwen2.5-7B-Instruct,test/number_theory/483.json,3,3,True,3,True
Math500,Llama-3.1-8B-Instruct,test/prealgebra/1555.json,5,,,5,True
Math500,Open-Reasoner-Zero-7B,test/intermediate_algebra/662.json,1 \pm \sqrt{19},,,"1, 3",False
Math500,Qwen2.5-7B-Instruct,test/algebra/1265.json,\frac{3}{2},\frac{3}{2},True,\frac{3}{2},True
Math500,Qwen2.5-Math-7B-Instruct,test/precalculus/625.json,\begin{pmatrix} 16/49 \\ 48/49 \\ 24/49 \end{pmatrix},\begin{pmatrix} \frac{16}{49} \\ \frac{48}{49} \\ \frac{24}{49} \end{pmatrix},False,\begin{pmatrix} \frac{16}{49} \\ \frac{48}{49} \\ \frac{24}{49} \end{pmatrix},False
Math500,Ministral-8B-Instruct-2410,test/prealgebra/192.json,2,x = 2,True,,
Math500,Qwen2.5-Math-7B-Instruct,test/prealgebra/1128.json,64,32,False,128,False
